response A record, cluster size
0.8.127.84,957
0.8.118.167,97
0.8.124.125,49
0.8.121.244,59
0.8.122.187,12
0.8.114.59,180
0.8.113.55,260
0.8.126.232,161
0.8.134.15,198
0.8.118.44,2
0.8.121.184,911
0.8.115.26,64
69.195.72.55,70
50.87.238.54,87
0.8.120.39,15
0.9.28.141,671
0.8.114.56,965
0.8.137.4,11
0.8.190.200,30
0.8.124.71,1
50.87.248.41,89
0.10.209.0,1
0.8.149.122,2561
0.8.132.204,1112
0.8.122.153,130
0.8.127.101,31
0.8.120.104,29
50.87.144.21,70
0.8.128.151,1094
0.8.121.201,2292
0.8.128.170,338
0.8.120.86,1067
0.8.121.203,705
0.8.130.163,1
0.10.209.251,1
0.10.210.21,2
0.8.116.167,14
0.8.128.236,100
0.8.127.45,728
0.8.127.116,116
0.8.122.68,485
0.8.101.11,6265
50.116.94.126,8
0.8.187.51,232
0.8.139.31,959
0.8.140.211,133
0.8.244.47,63
152.41.215.246,1
0.8.108.204,3215
0.8.112.69,2357
0.8.116.7,7177
0.9.160.200,172
0.8.141.89,1
0.8.129.70,2
0.8.125.189,54
70.40.217.118,20
0.8.110.36,929
0.8.124.15,7
0.8.123.159,15
192.185.4.85,61
0.8.222.55,895
50.87.176.45,108
0.8.143.65,94
0.8.123.185,425
50.87.224.215,354
0.8.126.205,12212
0.8.121.95,10544
0.8.126.198,10452
0.8.137.54,3
0.8.133.90,426
0.8.137.81,5
0.8.126.236,4
0.8.152.232,983
0.10.13.61,160
0.8.124.248,237
0.8.143.12,12
0.10.8.78,123
0.8.130.242,22
208.91.197.91,910
68.87.91.219,8
0.8.113.140,990
0.8.130.17,49
162.241.224.119,7
0.8.128.195,60
198.57.247.176,54
0.8.104.113,925
0.8.110.83,4182
0.8.115.126,2
0.8.131.245,107
0.8.127.31,2
0.8.125.13,24
0.8.133.9,1
0.8.129.175,6137
0.8.107.70,69
0.8.126.65,6401
0.8.115.138,559
0.8.104.92,6157
0.8.139.72,57
0.8.153.210,2
50.87.140.181,16
0.8.136.242,703
0.8.164.178,617
173.254.30.182,28
0.8.124.19,235
0.8.109.248,11583
0.8.129.113,7899
0.9.82.165,733
0.10.21.173,220
173.254.104.194,103
0.8.131.120,9
0.8.129.161,541
0.8.110.43,5984
0.8.123.82,584
0.8.115.38,1247
0.8.130.63,1
0.9.233.174,139
0.8.234.211,726
0.8.130.136,68
0.8.124.18,3508
0.8.142.66,253
0.8.133.68,122
0.8.132.31,43
0.8.135.39,317
173.254.29.220,41
0.8.139.230,5571
0.8.129.95,6
0.9.26.138,98
0.8.128.79,34
0.8.111.130,1744
0.8.122.176,238
0.8.133.56,223
0.8.106.144,858
0.8.217.150,182
0.8.155.32,630
0.8.132.97,2
0.8.131.11,1
0.8.130.39,972
0.8.127.5,21
0.10.22.68,15
157.230.33.167,21
0.8.120.228,540
0.8.142.86,2
0.8.128.166,2
50.87.253.194,164
50.87.144.156,53
0.8.124.255,992
0.8.130.233,5
0.8.174.8,530
50.87.144.146,54
0.8.130.243,1
0.8.126.113,906
0.8.115.233,3521
0.8.127.100,1308
0.8.152.229,1
0.10.152.167,127
0.8.115.218,1
0.8.101.62,1028
0.8.126.181,21
0.8.135.208,17
0.8.115.114,1180
0.8.131.214,42
185.236.106.200,829
0.8.110.214,42
0.8.124.127,1143
0.8.136.254,1258
0.8.136.209,67
0.8.106.107,505
0.8.137.130,6
0.8.129.92,25
0.8.138.147,4
0.8.144.245,62
0.8.133.115,253
50.87.224.172,262
0.8.140.191,798
0.8.114.188,1005
0.8.141.52,1
0.8.130.15,55
0.8.148.140,2
0.8.134.85,55
0.8.132.242,19
0.8.117.236,1193
0.8.136.162,80
0.8.149.100,1
162.241.151.160,32
0.8.118.73,881
0.8.141.255,1137
0.8.134.228,10
0.8.141.18,1
0.8.134.120,8
0.8.130.92,1
0.8.210.244,3195
0.8.231.223,3734
0.8.118.220,1536
0.8.170.225,2549
0.8.162.226,299
0.8.137.106,5
0.8.137.97,39
0.8.138.172,13
0.8.145.196,226
0.8.193.73,737
0.8.136.95,62
0.8.101.66,1045
0.8.102.19,2055
0.8.143.168,105
0.8.149.134,1
0.8.125.225,3572
0.8.124.222,2829
0.8.134.90,109
0.8.132.243,6
0.8.155.214,101
0.8.139.57,1058
0.8.136.40,1162
50.87.144.81,58
0.8.245.27,915
0.8.148.108,242
0.8.128.215,2005
0.8.111.68,5239
50.87.144.78,69
0.8.130.112,869
0.8.145.39,1
0.9.115.128,195
0.8.135.93,110
0.8.147.35,24
162.241.24.152,7
0.8.144.95,1
0.8.140.207,1
0.8.132.13,239
0.9.83.210,25
0.8.138.27,2
0.8.136.123,15
0.8.136.50,54
192.185.4.135,63
0.8.108.208,1550
0.8.175.50,8
198.57.247.197,59
