response A record, cluster size
0.29.41.234,4
0.35.143.225,1
0.34.65.206,1
0.29.29.206,5
0.34.67.154,2
0.34.73.182,1
0.29.29.190,1
0.29.37.246,2
83.171.253.38,1
0.29.32.217,1
0.8.161.149,11
0.29.40.62,1
50.116.94.54,9
0.13.58.143,6
0.11.120.195,4
0.34.77.164,2
0.29.36.30,1
0.29.39.177,1
0.29.41.2,7
0.29.68.178,3
0.29.87.181,1
0.34.247.186,1
0.29.48.127,1
0.29.53.208,1
0.34.85.194,1
0.29.48.156,3
0.29.79.101,1
0.17.245.246,6
0.12.30.223,17
0.29.60.39,3
0.29.55.31,1
0.29.58.200,1
50.87.248.23,5
0.26.210.90,2
0.11.90.195,7
0.29.48.221,6
0.29.53.231,2
0.29.49.104,3
0.29.84.106,1
0.29.54.255,8
0.29.58.24,1
0.29.48.239,2
0.29.149.124,1
0.35.6.65,1
0.35.169.33,5
0.29.49.249,1
0.20.197.135,10
0.29.54.32,1
0.29.119.244,11
0.29.109.241,1
0.29.58.139,1
0.29.136.62,1
0.29.66.231,2
0.14.163.139,4
85.219.141.30,1
0.29.54.213,3
60.199.29.5,1
0.29.61.55,7
0.29.151.9,1
0.29.49.15,2
0.34.189.210,1
0.29.52.74,1
0.35.178.237,3
0.29.91.9,1
0.29.100.96,1
0.29.150.100,1
0.34.210.204,1
0.29.115.76,3
0.29.69.252,4
0.29.67.181,1
0.35.179.136,70
103.120.242.132,2
0.16.208.115,2
0.29.57.107,3
162.241.226.169,7
0.29.55.146,1
0.29.83.151,1
0.29.67.156,2
108.167.156.28,7
0.29.76.70,1
0.29.67.51,7
0.17.28.3,9
0.29.146.199,1
162.241.216.20,4
0.29.75.203,1
0.8.152.150,13
0.29.68.188,4
0.29.106.54,1
0.29.78.72,1
0.29.68.20,1
0.29.69.239,4
0.29.72.94,1
0.29.65.87,1
0.21.109.232,6
136.243.147.81,2
0.29.234.2,2
0.29.75.240,9
162.241.219.215,2
0.29.68.150,1
162.241.218.28,10
0.29.193.154,1
0.29.86.225,2
0.29.82.223,1
0.29.89.243,3
0.35.195.218,1
0.29.89.247,1
0.29.70.79,3
0.29.71.104,1
162.241.224.215,4
0.29.72.34,6
0.29.76.82,4
0.16.74.148,5
0.29.238.59,1
0.29.150.16,10
0.13.74.76,3
0.29.87.182,2
0.29.177.138,1
0.29.228.174,2
0.29.82.134,1
0.8.236.82,8
50.87.172.103,3
0.34.134.4,1
0.29.137.120,4
0.16.108.84,4
0.17.18.95,8
0.10.152.86,3
0.10.28.23,8
0.35.203.63,1
0.29.88.81,1
0.29.179.108,1
0.34.143.15,1
162.241.225.72,5
0.29.79.152,4
0.34.133.201,1
0.29.99.143,1
0.29.82.201,1
0.26.97.195,2
0.29.151.166,1
0.29.105.84,1
35.84.251.228,5
0.29.170.242,1
0.29.82.238,1
0.29.82.248,6
0.29.111.171,1
0.35.40.194,1
0.29.76.154,1
0.29.167.253,1
0.29.83.185,6
0.29.91.166,2
0.29.108.108,1
162.215.248.232,3
0.14.254.119,17
0.29.144.230,1
0.29.91.143,1
0.29.113.165,1
0.29.85.11,2
0.17.149.200,22
0.29.105.29,1
168.100.9.219,1
0.29.90.95,3
0.29.105.222,5
0.29.88.51,2
0.34.153.144,1
0.29.95.186,2
0.29.93.149,1
0.34.156.248,1
162.241.217.180,6
0.29.81.153,5
0.9.121.170,18
0.29.15.24,2
0.29.86.160,4
0.29.90.39,1
0.29.103.19,2
0.25.103.87,22
0.29.93.43,1
0.29.103.182,2
0.29.101.99,1
162.241.225.216,5
0.34.176.49,2
0.29.85.249,1
0.17.246.126,25
0.29.108.4,4
0.12.64.160,9
0.29.107.217,1
0.29.91.151,1
0.29.200.120,1
0.31.86.132,24
0.29.93.97,1
0.25.235.157,11
0.29.110.24,1
0.34.105.145,2
0.29.101.137,4
0.29.112.254,1
0.29.105.154,1
185.8.173.136,2
0.29.133.127,1
0.34.189.120,2
0.34.165.218,5
0.29.171.28,5
0.34.178.81,1
0.16.234.48,7
0.29.99.165,1
0.29.117.135,3
0.29.114.9,9
0.29.125.179,1
0.29.170.169,1
0.29.102.120,4
0.29.121.63,1
0.29.115.208,1
67.20.76.199,12
3.18.145.237,2
0.29.111.0,1
0.14.29.130,13
0.29.96.28,3
0.23.74.76,11
0.29.110.192,1
0.29.148.19,1
0.29.113.196,1
0.29.132.254,1
0.29.172.85,2
0.29.106.195,2
0.34.185.233,6
0.11.195.72,18
0.29.105.202,1
0.35.1.110,1
0.29.106.2,3
0.34.190.240,1
0.29.105.164,5
0.16.2.124,4
50.87.249.23,8
0.29.149.7,5
0.9.11.122,10
143.109.168.250,1
0.29.105.240,3
0.29.111.14,6
0.29.134.106,1
0.29.117.182,1
0.29.117.134,1
0.17.112.74,5
0.29.109.10,1
0.29.196.190,1
0.34.185.217,1
0.29.131.14,1
15.197.206.82,4
0.29.124.170,1
0.8.201.140,5
0.29.125.60,1
0.34.195.187,1
0.29.108.128,2
0.29.143.159,1
0.16.170.176,3
0.34.181.47,1
0.25.31.208,8
0.29.106.254,1
0.29.123.157,3
0.29.132.124,1
0.35.25.139,1
0.29.120.121,2
0.29.108.43,1
0.34.185.251,1
0.29.136.86,2
0.29.202.118,1
0.9.92.142,7
0.35.15.234,1
0.29.128.130,3
0.27.225.140,10
0.29.126.149,4
0.29.114.202,3
0.29.123.165,1
0.29.131.182,1
0.23.51.56,7
0.29.132.83,1
0.29.144.121,2
0.29.225.217,1
0.34.200.45,4
0.19.53.161,19
51.89.16.177,3
188.119.148.82,3
109.205.214.13,3
0.29.132.172,1
0.19.43.59,11
0.24.157.220,19
0.29.123.76,29
0.29.127.224,2
0.8.193.149,7
0.28.16.156,48
0.20.85.46,20
0.9.64.61,1
0.29.148.31,1
162.159.56.37,1
0.29.123.197,3
0.29.128.252,1
0.24.179.192,6
0.29.129.100,1
0.34.226.8,2
0.29.124.206,1
0.16.243.98,5
0.34.209.226,1
0.9.48.100,18
0.29.129.52,4
50.87.248.35,3
0.29.133.204,4
0.29.151.255,1
0.29.132.198,5
0.29.134.63,1
0.36.19.109,4
0.29.136.132,1
0.29.133.16,2
0.36.20.159,3
0.29.235.60,1
0.36.20.225,4
0.34.218.153,1
0.20.101.98,2
0.30.126.196,1
0.29.163.124,8
0.29.137.77,5
0.29.136.237,1
0.34.238.46,1
0.29.134.248,1
0.29.149.137,1
0.29.135.240,2
0.29.155.120,2
0.29.139.117,1
0.29.150.44,1
0.29.137.180,11
0.34.218.66,1
0.29.146.211,2
0.35.52.237,1
0.10.186.221,10
46.17.184.49,1
0.29.139.234,1
0.29.138.184,4
0.29.139.207,1
0.29.137.74,10
162.241.217.159,8
0.36.30.115,1
0.36.28.210,1
0.36.31.132,1
0.36.31.205,1
0.29.151.109,1
0.29.153.53,1
0.29.153.131,1
0.29.154.153,1
0.29.155.122,1
0.29.143.140,8
0.29.229.85,1
0.29.137.232,1
0.29.136.230,1
0.29.149.34,1
0.12.178.125,16
0.12.57.78,7
0.29.154.68,1
0.25.213.63,1
0.35.45.9,1
0.29.152.67,1
0.29.149.74,1
0.34.232.116,1
0.29.214.44,1
0.29.228.232,3
0.29.151.229,1
0.29.165.221,1
0.34.238.58,1
0.34.228.179,1
0.29.249.248,1
0.29.146.82,3
0.27.226.152,10
0.29.150.99,3
0.29.176.8,1
0.29.231.203,1
108.167.158.63,8
0.14.49.80,3
0.36.36.164,1
0.29.145.33,1
0.14.10.50,4
0.29.155.79,1
0.29.151.117,1
0.31.100.195,27
0.29.156.215,1
0.35.253.153,3
0.29.155.36,1
0.17.213.126,1
0.12.146.194,14
0.29.169.88,1
0.29.166.9,1
0.29.174.25,1
0.29.161.63,1
0.29.164.98,1
0.29.148.54,7
0.29.159.110,3
0.12.176.224,6
0.8.134.73,6
0.29.186.143,1
0.29.159.179,1
0.18.247.253,12
0.29.170.1,1
0.36.52.100,42
0.29.156.51,1
0.29.158.76,1
0.34.255.134,1
0.34.213.231,21
0.18.164.14,23
108.167.158.156,9
0.10.118.64,33
0.29.152.227,7
0.26.81.84,3
0.21.74.56,13
0.29.152.37,1
0.29.162.137,1
0.29.160.57,2
0.29.160.52,15
0.29.153.12,1
0.13.4.152,8
0.29.220.230,1
0.29.183.173,1
0.29.164.190,1
0.22.204.48,2
0.29.158.189,3
0.29.167.136,1
0.29.170.195,1
0.29.211.45,5
0.29.201.88,1
0.20.105.6,8
0.31.155.110,17
0.29.164.12,3
104.254.97.136,22
144.126.222.113,1
0.11.26.238,5
0.29.186.186,6
0.29.236.251,2
0.29.166.157,6
0.29.169.201,12
0.29.172.58,1
0.29.210.220,3
80.249.132.59,6
0.35.6.1,1
0.29.185.146,1
0.29.166.8,1
0.29.190.117,8
0.14.50.28,6
0.19.3.13,13
0.29.170.230,5
0.29.172.232,3
0.29.202.37,1
0.29.173.152,6
0.29.176.50,4
0.35.25.54,2
0.29.190.169,1
0.29.172.129,1
0.16.107.94,5
0.10.145.232,10
0.30.22.248,1
0.29.174.42,1
0.36.9.160,2
0.29.254.66,1
0.29.181.44,1
0.22.239.155,3
0.30.9.130,1
0.14.143.126,8
0.29.193.120,1
0.29.191.95,1
0.15.12.14,23
0.29.210.166,2
0.29.185.45,2
0.29.184.187,1
0.29.190.121,3
0.35.22.86,1
0.29.188.33,1
0.29.191.2,1
0.29.195.40,1
0.10.65.228,7
0.30.47.219,1
0.29.183.16,1
0.29.188.253,1
0.9.220.184,10
0.12.252.48,3
0.29.203.178,1
0.29.177.238,1
0.29.189.102,1
0.29.195.9,2
0.30.34.147,1
108.179.200.166,1
0.29.191.245,15
0.29.182.154,12
0.29.236.204,11
0.29.196.155,1
0.35.43.67,1
0.29.190.90,1
0.29.184.211,1
0.9.136.198,9
108.179.242.194,8
0.14.126.70,3
0.30.20.169,1
0.29.188.195,1
0.29.211.176,1
0.29.220.170,1
0.29.222.63,1
0.29.191.210,1
0.29.216.224,9
0.35.42.165,1
0.29.205.253,5
0.36.39.221,2
0.36.99.19,1
107.151.182.254,1
0.36.101.72,7
0.29.197.205,4
0.29.193.117,1
0.36.102.79,1
0.29.195.76,4
0.35.50.38,1
0.36.99.200,1
0.35.52.112,1
0.35.52.130,1
0.29.195.65,1
50.87.176.226,3
0.20.153.59,14
0.35.68.178,1
0.30.49.176,1
0.16.217.240,2
0.35.53.21,1
0.29.199.164,1
0.25.255.202,22
0.29.215.217,1
0.29.219.214,1
0.29.202.134,2
0.29.199.130,8
0.33.214.27,62
0.19.33.67,4
0.29.220.252,1
0.19.190.15,11
0.29.208.225,2
0.29.205.65,1
0.35.160.66,1
0.29.211.127,1
0.29.229.216,3
0.29.216.87,1
0.30.25.85,1
0.29.251.230,2
0.29.217.47,1
0.29.204.151,1
0.35.75.106,1
0.29.213.97,1
0.29.224.42,1
0.29.220.119,1
162.241.224.86,7
0.30.60.228,1
0.29.206.186,2
0.35.65.28,1
0.35.90.232,1
0.29.220.116,2
0.24.218.118,3
0.29.206.100,8
0.29.239.229,1
0.29.204.153,4
0.29.209.14,1
0.29.224.216,5
0.29.217.158,3
0.29.211.83,3
0.29.227.133,4
0.29.214.145,1
0.11.42.153,6
0.29.224.125,2
0.29.213.120,3
0.30.19.130,2
0.29.216.234,6
0.26.73.220,3
0.29.224.224,1
0.35.24.125,5
0.29.224.95,3
0.23.100.212,10
0.29.216.20,1
0.29.213.173,1
0.35.88.255,1
0.29.225.228,1
50.87.170.127,7
0.35.82.20,1
0.29.217.5,1
0.30.35.15,1
0.17.31.198,16
0.29.225.146,4
0.29.220.108,5
0.29.213.30,13
0.29.241.194,18
0.21.121.3,11
216.239.34.21,4
0.8.149.71,10
0.29.231.183,3
0.36.132.136,1
0.29.223.111,1
0.29.4.163,43
192.168.10.1,13
0.29.222.157,3
0.22.239.215,8
0.29.236.93,1
0.29.245.208,3
0.20.96.189,2
0.30.51.63,1
162.214.80.124,4
0.29.238.41,1
0.29.222.88,1
0.35.101.83,1
0.30.61.14,1
0.29.114.100,3
0.29.223.93,5
0.33.65.233,3
0.29.244.41,1
0.29.236.191,1
162.241.219.158,7
0.29.232.68,4
0.29.248.100,1
0.30.133.125,1
0.29.240.239,1
0.29.238.183,1
0.29.230.171,1
0.29.238.23,2
0.28.14.231,15
0.23.188.169,5
0.30.241.184,2
0.29.239.227,2
0.11.252.155,9
0.29.235.137,3
0.11.246.34,20
0.29.236.248,1
0.30.8.139,13
0.8.228.165,2
0.29.236.197,3
0.29.233.43,4
0.29.236.207,1
68.183.34.12,2
0.30.70.153,2
0.29.246.11,1
0.27.247.177,3
70.40.216.191,9
0.29.240.250,1
0.35.103.66,1
158.69.187.205,2
0.29.246.198,1
116.241.165.95,1
0.29.247.116,2
0.29.234.222,4
0.29.235.149,1
0.22.135.244,7
0.29.244.56,30
0.35.114.239,2
0.30.34.80,1
0.29.251.6,1
0.29.244.58,2
0.29.245.210,1
0.29.241.169,1
0.29.250.20,1
0.30.94.180,1
0.35.114.43,1
0.29.239.80,2
0.26.94.186,2
0.30.64.159,1
0.29.255.171,1
0.30.65.83,1
0.29.242.233,1
0.25.134.148,2
0.29.245.157,2
0.29.241.39,1
0.35.116.195,1
0.11.104.83,27
0.35.168.96,1
0.30.24.83,2
0.29.249.71,1
0.29.241.65,1
0.29.248.222,1
0.29.254.108,3
0.29.249.4,2
0.36.168.151,4
0.29.119.24,16
194.150.248.6,2
0.36.170.104,1
162.241.252.173,7
0.30.5.104,1
0.36.172.60,1
0.29.255.63,3
0.36.172.58,1
0.36.172.30,1
0.36.172.68,2
0.29.249.56,1
0.29.255.59,2
0.29.249.178,1
0.35.211.130,1
108.167.189.114,11
0.30.10.80,1
0.29.251.32,1
0.35.147.236,1
0.35.184.242,1
0.24.25.24,58
0.29.250.195,3
0.35.136.107,1
0.30.9.23,1
0.35.131.14,1
0.12.14.73,3
0.30.10.36,1
0.30.2.26,1
162.241.217.48,6
0.29.254.18,1
0.30.9.49,1
0.27.241.127,8
0.30.28.111,1
0.30.1.53,1
0.29.255.147,12
0.36.182.137,2
0.35.161.141,1
0.30.16.154,1
0.29.255.69,1
0.30.1.151,1
0.10.234.182,5
0.36.186.110,2
0.35.152.112,1
0.30.17.183,10
0.30.3.175,7
0.11.114.114,6
0.36.187.66,1
0.26.111.25,12
0.35.140.89,1
0.30.103.233,1
0.35.142.78,2
0.30.25.19,1
0.30.102.125,1
0.16.200.93,15
0.30.4.249,3
0.30.98.20,1
0.35.154.51,5
0.30.12.29,1
0.30.6.143,1
0.30.10.211,4
0.22.151.248,7
0.30.24.236,1
0.13.16.75,16
0.30.19.54,1
0.30.21.165,1
88.193.206.176,1
0.30.24.162,6
0.10.19.215,9
0.30.4.208,2
0.30.23.196,1
0.12.237.216,4
0.30.104.69,1
205.178.187.26,2
0.21.78.166,2
0.35.200.216,2
0.36.198.18,3
192.168.1.250,3
0.30.20.44,1
0.30.19.127,2
0.11.235.25,17
0.30.132.3,1
0.25.175.43,7
31.214.250.126,1
0.30.168.210,1
0.30.19.113,1
0.27.77.135,43
0.30.17.228,2
0.30.25.25,1
0.30.9.89,42
0.35.158.13,1
0.16.207.187,15
0.8.223.171,2
162.241.218.64,5
15.197.130.221,3
0.30.20.30,4
24.24.123.11,1
0.30.19.150,1
0.30.28.216,7
0.30.21.46,1
0.30.16.88,2
0.35.163.237,2
0.30.22.42,5
0.30.26.87,1
0.14.168.251,16
0.30.62.115,1
0.30.120.1,1
0.36.211.76,1
0.30.100.166,1
0.30.23.122,3
0.30.25.186,1
0.36.212.197,1
0.35.192.57,1
0.35.243.166,1
0.36.214.188,2
0.30.109.194,3
0.22.4.231,1
0.30.28.103,1
87.238.97.248,2
0.30.60.23,1
0.30.28.72,1
0.30.44.186,4
0.30.48.18,1
0.30.35.199,9
0.30.29.246,1
0.30.29.245,1
0.30.36.213,1
0.30.23.110,4
0.30.111.96,1
0.30.55.172,1
0.30.35.153,1
0.30.35.157,7
0.30.31.157,7
0.30.56.120,1
0.30.58.18,1
0.30.50.80,1
0.27.154.33,4
162.241.226.136,7
0.30.36.55,6
0.30.176.156,1
0.30.127.35,1
0.30.55.1,1
0.24.188.125,7
0.35.199.139,2
0.30.71.0,1
0.30.52.186,1
0.30.51.78,1
0.30.41.152,1
0.30.53.166,2
0.30.46.147,1
0.35.212.157,1
0.29.146.158,22
0.30.69.6,1
0.30.162.11,1
0.36.231.242,2
0.30.61.236,1
0.30.100.239,2
0.35.205.249,1
0.30.40.170,2
0.18.109.84,3
0.30.61.96,2
119.18.49.6,4
0.14.155.196,5
0.30.75.116,1
0.30.46.246,1
0.35.196.200,2
108.167.164.96,6
10.15.60.1,1
0.30.54.129,1
0.30.51.124,1
0.30.47.96,7
0.30.148.254,1
0.8.180.74,4
162.241.230.118,6
0.30.69.109,1
0.30.60.30,5
0.30.51.57,2
0.30.137.5,1
0.18.41.208,26
0.30.44.221,1
0.30.86.66,1
0.30.121.84,2
0.30.58.161,15
0.30.10.214,3
162.241.194.175,9
0.30.59.108,1
0.35.206.52,1
0.30.49.253,1
0.30.171.231,1
50.116.93.247,7
0.30.62.130,1
0.36.250.57,1
0.30.57.100,5
0.30.47.5,1
0.30.63.241,12
0.30.63.66,1
0.30.86.115,1
0.30.62.75,1
0.30.51.87,3
0.30.51.185,5
0.30.55.245,5
0.28.81.56,12
0.30.93.77,1
0.35.220.144,3
0.30.71.148,1
188.120.172.84,1
0.17.72.5,8
0.23.122.144,8
0.30.68.152,2
0.35.222.182,6
0.36.137.135,89
0.30.60.247,1
162.214.80.49,4
0.30.111.46,1
0.30.66.2,2
36.93.45.106,3
0.30.96.29,1
0.30.159.63,1
0.30.69.111,10
0.30.59.5,1
0.30.59.115,5
0.30.69.84,1
0.35.227.87,1
0.30.72.98,5
162.241.224.197,6
91.183.54.203,1
0.30.62.107,4
108.174.50.9,1
0.30.66.118,1
0.35.230.211,1
0.30.204.232,1
0.30.72.70,6
0.36.65.98,1
0.30.152.174,1
0.12.6.107,4
0.30.66.239,4
208.73.210.185,2
0.30.85.143,1
0.30.74.207,2
0.30.120.136,7
0.14.13.39,10511
0.30.107.251,6
0.30.82.29,4
0.37.21.81,1
0.30.69.160,1
0.30.93.210,13
0.36.69.98,1
0.30.89.64,1
0.30.157.141,1
0.30.74.125,1
0.30.68.156,1
0.30.76.79,3
0.30.73.112,1
0.36.58.221,5
0.30.91.190,1
0.30.154.22,1
0.30.86.158,1
0.30.77.206,2
0.30.15.219,1
0.37.30.109,1
0.21.7.234,4
0.30.81.98,5
0.30.95.136,3
0.30.90.56,1
0.36.4.163,5
0.30.84.88,2
0.36.3.36,1
0.35.247.111,1
0.30.88.206,7
0.30.89.50,1
66.196.36.16,4
198.18.1.148,2
0.28.226.221,5
0.30.80.183,3
0.30.102.213,1
0.18.247.124,3
0.30.79.231,3
50.87.145.250,8
0.30.99.147,1
0.19.222.254,13
0.36.95.30,1
0.30.81.13,3
108.167.158.26,8
0.30.94.171,1
0.30.88.101,1
207.172.156.205,1
0.30.108.251,1
0.30.85.60,1
0.30.90.248,3
0.36.2.193,1
0.30.168.141,1
0.36.19.33,1
108.167.158.23,7
0.36.7.34,1
0.30.98.21,1
0.30.100.71,1
0.30.100.118,1
0.30.100.190,1
0.30.100.233,1
0.30.101.178,1
0.30.118.57,3
0.30.92.68,1
0.36.12.239,1
0.30.98.122,1
0.30.113.152,1
0.30.106.121,1
0.16.196.176,12
0.30.92.185,3
0.30.89.195,1
0.30.105.43,1
0.30.133.179,5
0.30.177.68,1
108.167.164.253,6
0.36.25.164,1
0.16.149.162,4
0.30.93.192,1
0.30.127.12,1
0.13.126.48,5
0.14.192.87,44
0.36.17.20,1
0.30.100.13,1
10.147.24.47,6
162.215.248.153,3
0.37.43.53,1
0.30.98.76,12
0.30.96.191,1
0.29.237.118,18
0.30.128.24,8
0.30.105.16,1
162.214.80.52,3
0.30.106.155,1
0.30.100.103,1
0.10.85.9,1
0.30.126.136,1
74.220.219.171,4
0.20.222.162,12
0.30.105.159,1
0.30.94.211,13
0.30.129.70,1
0.30.118.68,3
0.30.104.195,3
0.36.183.75,1
0.19.45.145,8
0.30.107.9,2
0.30.125.155,1
0.30.152.112,1
0.27.118.241,11
0.30.115.246,1
0.29.181.68,31
0.30.115.234,1
0.30.107.121,1
0.36.30.8,1
0.30.123.1,1
0.30.140.83,1
0.30.112.44,1
0.30.147.232,1
0.30.196.165,1
0.30.185.61,8
0.30.121.208,1
0.36.136.99,14
0.30.199.172,1
0.22.73.59,16
0.13.118.252,3
162.241.253.15,9
0.29.92.133,5
0.30.131.144,1
162.241.225.210,7
0.15.181.99,8
0.37.74.205,1
0.29.87.71,5
200.199.142.196,2
0.30.125.146,1
0.30.119.27,9
0.30.195.30,1
0.17.106.231,9
0.30.142.144,7
0.36.52.168,1
0.36.153.30,1
0.36.46.61,1
0.37.80.84,1
0.37.77.236,5
0.19.167.227,5
0.37.81.1,3
72.15.98.67,1
0.30.123.177,1
0.30.136.185,9
0.14.202.5,11
0.30.135.17,1
0.20.202.89,4
0.36.53.144,1
0.15.119.20,27
0.30.135.35,1
0.17.233.56,10
0.30.124.86,2
0.30.129.106,3
0.16.74.2,4
0.30.155.208,4
0.30.133.163,7
0.36.129.96,1
0.30.128.86,1
0.11.23.34,6
0.30.135.168,1
0.17.6.4,16
162.241.27.10,16
0.30.131.70,1
0.30.137.254,1
0.8.243.88,16
0.30.140.78,2
0.30.149.47,1
0.30.143.238,1
0.30.161.199,4
0.30.137.30,12
0.30.136.31,2
0.25.205.225,5
0.30.130.197,1
50.87.143.200,3
0.33.48.176,63
0.30.149.235,2
0.30.131.142,1
0.30.149.11,4
0.30.163.98,1
0.30.189.134,1
0.30.142.179,1
0.36.81.235,1
162.215.248.30,3
50.87.172.132,4
0.30.133.211,2
0.30.232.97,1
0.9.152.138,11
0.28.244.117,8
0.30.136.94,1
0.36.89.180,2
0.30.141.78,6
0.30.144.228,1
0.30.138.131,1
0.10.153.153,16
0.30.147.194,2
0.30.152.149,1
0.30.126.118,4
0.36.105.222,1
0.30.145.210,6
0.30.151.168,3
0.30.147.179,7
0.30.162.212,1
0.30.168.58,1
0.30.106.143,6
162.241.218.67,8
0.30.152.203,1
0.30.223.255,1
0.11.82.92,3
0.30.225.208,1
0.30.144.105,6
0.37.117.239,1
0.36.106.76,1
0.30.158.108,1
89.23.105.218,1
0.37.114.93,1
0.30.186.133,1
0.31.45.83,1
0.30.154.187,1
0.30.168.81,1
108.167.165.24,11
0.30.156.87,3
0.30.166.9,1
0.30.154.254,1
0.30.147.82,1
0.30.160.244,1
0.37.123.251,1
0.30.150.109,4
0.30.142.42,7
0.30.243.131,1
0.30.231.228,2
0.30.247.36,1
162.241.226.82,6
0.30.243.155,1
0.27.151.138,5
0.30.171.227,1
0.30.157.28,1
162.241.24.149,6
0.36.123.116,1
0.30.253.49,1
0.30.177.216,2
0.30.241.49,1
0.30.250.31,1
0.30.162.246,1
0.23.87.19,6
0.25.93.52,33
0.34.97.95,5
0.15.57.38,14
74.220.219.243,11
0.30.170.197,4
0.30.188.199,1
0.28.99.188,1
0.25.181.16,2
0.30.171.1,1
0.30.162.89,2
0.31.0.76,1
0.30.162.117,8
0.30.159.126,1
0.30.253.93,1
0.30.155.183,1
0.31.43.9,1
0.30.170.20,3
0.30.165.13,1
0.36.153.57,1
0.30.162.122,5
0.36.134.164,1
0.34.99.131,5
0.30.163.91,1
0.30.180.175,1
0.31.49.176,16
0.24.101.117,17
0.35.94.154,1
0.36.8.251,4
0.30.176.251,5
0.27.78.112,6
0.30.164.213,1
0.30.181.84,1
0.30.172.66,14
0.13.193.210,2
0.30.248.119,1
0.30.239.125,1
0.36.217.186,1
0.30.247.243,1
0.32.77.184,52
0.30.159.172,3
0.12.165.41,8
0.30.177.143,4
0.36.142.83,1
0.30.181.191,8
0.30.183.164,1
0.33.145.243,2
0.23.121.176,13
0.30.176.154,2
0.15.22.59,13
0.36.158.111,1
0.30.176.210,2
0.30.187.120,2
0.30.174.172,8
185.38.110.127,2
185.252.31.33,1
0.30.179.5,6
0.30.180.169,1
162.241.219.110,6
0.30.190.179,1
0.36.155.134,2
0.30.181.4,1
0.17.196.207,28
0.30.184.117,3
0.30.180.65,2
0.30.188.88,2
0.30.184.69,4
74.220.219.234,4
0.37.160.227,1
0.30.178.137,4
0.37.165.39,5
0.30.184.137,6
50.87.249.47,6
0.30.195.220,1
0.30.194.100,1
0.31.1.103,1
0.30.242.62,2
209.209.112.9,1
0.37.163.241,1
0.36.157.88,1
0.31.21.132,1
0.30.182.135,1
0.30.193.141,1
0.30.194.106,2
0.30.183.41,2
0.30.196.104,1
0.31.27.172,1
0.30.226.120,4
0.17.41.124,23
0.30.181.103,2
0.30.184.30,1
0.31.28.110,1
0.36.166.249,1
0.12.20.208,3
18.117.87.35,1
0.30.190.131,4
0.30.204.88,1
0.34.90.26,19
0.14.250.96,6
0.30.195.35,1
0.31.249.144,55
108.167.164.12,6
0.30.204.146,1
0.30.195.207,6
0.19.213.158,2
0.37.161.66,6
0.30.204.159,1
0.36.173.42,1
0.30.192.7,1
0.30.198.167,1
50.6.138.76,5
0.36.254.207,2
0.30.206.137,1
0.26.143.91,15
0.36.178.25,1
0.36.192.16,3
0.30.219.87,1
0.30.199.1,2
0.11.210.237,8
0.30.202.56,1
0.31.28.235,1
0.30.204.49,2
0.30.207.198,1
0.30.198.34,2
60.199.29.2,1
0.30.205.204,5
0.18.129.130,7
0.30.208.159,1
50.87.143.77,7
0.30.194.204,3
0.31.32.47,1
0.10.249.13,8
0.30.203.60,2
0.10.91.40,9
0.13.6.212,4
0.20.97.95,2
0.31.34.235,1
0.31.32.211,1
0.10.46.28,4
119.18.49.24,4
0.16.161.244,21
0.30.227.212,2
0.30.219.215,1
0.30.210.48,1
0.30.225.239,1
0.30.239.120,2
0.30.208.138,10
0.18.97.143,2
0.17.215.94,2
0.11.63.153,17
0.30.234.11,1
0.30.209.129,1
0.20.248.92,8
0.30.233.183,1
0.30.234.170,4
0.30.211.3,14
0.36.205.83,16
0.30.220.238,3
0.30.219.20,5
0.13.143.206,7
0.30.217.122,2
0.30.217.103,4
0.30.226.75,1
0.31.107.78,1
0.23.219.120,8
0.30.214.254,1
0.30.230.179,1
0.30.242.197,5
0.31.57.99,1
0.31.46.117,1
0.30.231.142,1
0.30.219.160,5
0.30.221.194,1
0.36.202.227,3
0.30.221.174,1
0.8.180.76,9
0.30.214.10,5
0.30.210.254,1
0.36.226.22,1
0.36.219.222,3
0.30.237.62,1
0.36.219.63,1
0.31.11.151,1
162.215.248.220,3
0.30.219.72,1
0.30.225.194,4
0.17.185.200,7
0.36.217.248,1
0.30.224.131,3
0.31.48.177,1
0.31.48.113,1
0.21.182.177,8
0.36.222.123,1
0.30.239.132,1
0.31.64.150,1
0.11.166.220,18
0.30.224.119,3
0.37.222.35,5
0.30.225.142,1
0.30.241.177,1
0.37.13.99,1
0.30.223.128,16
0.30.221.104,3
0.30.244.15,6
0.36.248.165,1
0.31.88.100,2
0.9.146.102,2
0.30.238.154,1
0.19.165.98,5
0.30.227.210,1
0.30.232.148,9
0.11.62.23,89
0.30.228.206,3
0.31.2.60,1
0.30.229.250,3
70.40.222.133,8
87.106.18.122,4
0.18.150.85,16
0.31.16.153,5
0.9.142.95,17
0.36.229.255,1
0.26.145.84,9
0.30.246.228,14
0.30.235.47,1
0.30.247.35,1
0.29.143.254,30
0.30.252.121,2
0.30.253.11,1
0.30.43.185,1
0.18.131.93,1
0.30.240.184,7
3.98.14.216,5
35.183.171.172,5
0.29.204.8,41
0.31.76.174,1
0.30.242.15,1
0.8.160.250,17
0.30.239.103,7
0.13.39.81,10
0.30.242.162,1
0.30.250.7,4
0.30.240.4,2
0.31.157.219,6
0.19.41.208,29
0.30.247.33,6
0.10.216.56,100
